Location,Application_or_treatment,Product_or_nutrient_applied,Date_of_application,Quantity_per_acre,Application_unit
MOH1,post-plant herbicide,Callisto,"Thursday, May 16, 2019",3,oz/Acre
MOH1,post-plant herbicide,Basagran,"Friday, May 31, 2019",24,oz/Acre
MOH1,post-plant herbicide,Basagran,"Thursday, June 20, 2019",24,oz/Acre
NCH1,pre-plant herbicide,Atrazine 4L and Dual II Magnum,"Tuesday, May 14, 2019",20,oz/Acre
NCH1,irrigation,,"Thursday, June 27, 2019",1,in/Acre
NCH1,irrigation,,"Sunday, June 30, 2019",1,in/Acre
NCH1,fertilize,Lime,"Monday, February 18, 2019",1000,lbs/Acre
NCH1,pre-plant herbicide,Glyphosate 1Qt/A burndown 4/4/19,"Thursday, April 4, 2019",32,oz/Acre
NCH1,insecticide,Counter,"Tuesday, May 14, 2019",5.2,lbs/Acre
NCH1,post-plant herbicide,Evik,"Wednesday, July 31, 2019",2,lbs/Acre
NCH1,post-plant herbicide,Accent Q,"Thursday, June 27, 2019",0.9,oz/Acre
NCH1,fertilize,10-10-30 N-P-K,"Tuesday, May 7, 2019",474,lbs/Acre
NYH1,fertilize,6.7-13-33.5 4.4S dry fertilizer broadcast incorp,"Tuesday, May 21, 2019",500,lbs/Acre
NYH1,post-plant herbicide,Acuron,"Wednesday, June 5, 2019",96,oz/Acre
NYH1,fertilize,UAN 30%,"Wednesday, July 3, 2019",100 of N,lbs/Acre
NYH2,fertilize,6.7-13-33.5 with 4.4 sulfur,"Tuesday, May 21, 2019",450,lbs/Acre
NYH2,pre-plant herbicide,"Acuron (S-Metalochlor, Atrazine, Mesotrione)","Thursday, May 23, 2019",96,oz/Acre
NYH3,fertilize,6.7-13-33.5 with 4.4 sulfur,"Tuesday, May 21, 2019",450,lbs/Acre
NYH3,pre-plant herbicide,"Acuron (S-Metalochlor, Atrazine, Mesotrione)","Thursday, May 23, 2019",96,oz/Acre
OHH1,soil remediant,Lime / pre plant incorporate,,4000,lbs/Acre
OHH1,fertilize,11-52-0 / pre plant incorporate,,100,lbs/Acre
OHH1,fertilize,0-0-60 / pre plant incorporate,,100,lbs/Acre
OHH1,fertilize,Planter starter 2x2,"Friday, June 7, 2019",30-26-0-6S,lbs/Acre
OHH1,post-plant herbicide,Acuron,"Monday, June 10, 2019",82,oz/Acre
OHH1,post-plant herbicide,Roundup,"Monday, June 10, 2019",24,oz/Acre
OHH1,fertilize,28% N sidedress,"Wednesday, June 26, 2019",200,lbs/Acre
OHH1,Fungicide ,Delaro 325 SC,"Thursday, August 15, 2019",8.05,oz/Acre
ONH2,fertilize,28% Nitrogen,"Monday, July 8, 2019",170,lbs/Acre
ONH2,pre-plant herbicide,Integrity,"Tuesday, June 11, 2019",15,oz/Acre
ONH2,pre-plant herbicide,Round up,"Tuesday, June 11, 2019",51,oz/Acre
SCH1,post-plant herbicide,Bicep II Magnum,"Sunday, May 12, 2019",16,oz/Acre
SCH1,Post-Plant Herbicide,Banvel,"Sunday, May 12, 2019",16,oz/Acre
SCH1,Post-Plant Herbicide,24-D,"Sunday, May 12, 2019",16,oz/Acre
SCH1,Fertlizer,Atrazine,"Thursday, June 13, 2019",32,oz/Acre
SCH1,Fertlizer,15-18-24,"Thursday, April 25, 2019",300,lbs/Acre
WIH1,fertilize,Granular Urea,"Thursday, May 9, 2019",130,lbs/Acre
WIH1,insecticide,Force 3G,"Sunday, May 12, 2019",5,oz/Acre
WIH1,post-plant herbicide,Simazine 4L,"Thursday, May 16, 2019",16,oz/Acre
WIH1,post-plant herbicide,Callisto,"Thursday, May 16, 2019",5,oz/Acre
WIH1,post-plant herbicide,Dual II - Magnum,"Thursday, May 16, 2019",24,oz/Acre
WIH2,fertilize,Granular Urea,"Thursday, May 30, 2019",130,lbs/Acre
WIH2,insecticide,Force 3G,"Monday, June 3, 2019",5,oz/Acre
WIH2,post-plant herbicide,Simazine 4L,"Friday, June 7, 2019",16,oz/Acre
WIH2,post-plant herbicide,Callisto,"Friday, June 7, 2019",5,oz/Acre
WIH2,post-plant herbicide,Dual II - Magnum,"Friday, June 7, 2019",24,oz/Acre
